"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","1994","Total","May","Data tabulated by year of occurrence","Final figure, complete","1996","330295",""
"United States of America","1994","Total","June","Data tabulated by year of occurrence","Final figure, complete","1996","329737",""
"United States of America","1994","Total","July","Data tabulated by year of occurrence","Final figure, complete","1996","345862",""
"United States of America","1994","Total","August","Data tabulated by year of occurrence","Final figure, complete","1996","352173",""
"United States of America","1994","Total","September","Data tabulated by year of occurrence","Final figure, complete","1996","339223",""
"United States of America","1994","Total","October","Data tabulated by year of occurrence","Final figure, complete","1996","330172",""
"United States of America","1994","Total","November","Data tabulated by year of occurrence","Final figure, complete","1996","319397",""
"United States of America","1994","Total","December","Data tabulated by year of occurrence","Final figure, complete","1996","326748",""
"United States of America","1993","Total","January","Data tabulated by year of occurrence","Final figure, complete","1995","323073",""
"United States of America","1993","Total","February","Data tabulated by year of occurrence","Final figure, complete","1995","304656",""
"United States of America","1993","Total","March","Data tabulated by year of occurrence","Final figure, complete","1995","342187",""
"United States of America","1993","Total","April","Data tabulated by year of occurrence","Final figure, complete","1995","327042",""
"United States of America","1993","Total","May","Data tabulated by year of occurrence","Final figure, complete","1995","335989",""
"United States of America","1993","Total","June","Data tabulated by year of occurrence","Final figure, complete","1995","335349",""
"United States of America","1993","Total","July","Data tabulated by year of occurrence","Final figure, complete","1995","352554",""
"United States of America","1993","Total","August","Data tabulated by year of occurrence","Final figure, complete","1995","350898",""
"United States of America","1993","Total","September","Data tabulated by year of occurrence","Final figure, complete","1995","348013",""
"United States of America","1993","Total","October","Data tabulated by year of occurrence","Final figure, complete","1995","332937",""
"United States of America","1993","Total","November","Data tabulated by year of occurrence","Final figure, complete","1995","316379",""
"United States of America","1993","Total","December","Data tabulated by year of occurrence","Final figure, complete","1995","331163",""
"United States of America","1992","Total","January","Data tabulated by year of occurrence","Final figure, complete","1993","334000",""
"United States of America","1992","Total","February","Data tabulated by year of occurrence","Final figure, complete","1993","304000",""
"United States of America","1992","Total","March","Data tabulated by year of occurrence","Final figure, complete","1993","360000",""
"United States of America","1992","Total","April","Data tabulated by year of occurrence","Final figure, complete","1993","330000",""
"United States of America","1992","Total","May","Data tabulated by year of occurrence","Final figure, complete","1993","361000",""
"United States of America","1992","Total","June","Data tabulated by year of occurrence","Final figure, complete","1993","333000",""
"United States of America","1992","Total","July","Data tabulated by year of occurrence","Final figure, complete","1993","352000",""
"United States of America","1992","Total","August","Data tabulated by year of occurrence","Final figure, complete","1993","350000",""
"United States of America","1992","Total","September","Data tabulated by year of occurrence","Final figure, complete","1993","357000",""
"United States of America","1992","Total","October","Data tabulated by year of occurrence","Final figure, complete","1993","345000",""
"United States of America","1992","Total","November","Data tabulated by year of occurrence","Final figure, complete","1993","332000",""
"United States of America","1992","Total","December","Data tabulated by year of occurrence","Final figure, complete","1993","326000",""
"United States of America","1991","Total","January","Data tabulated by year of occurrence","Final figure, complete","1993","335172",""
